pk_shop,date_collected,shopid,name,join_month,join_day,join_year,item_count,follower_count,response_time,response_rate,shop_location,rating_bad,rating_good,rating_normal,rating_star,is_shopee_verified,is_official_shop
20210613254711738,2021-06-13,254711738,hello.may.ph,April,27,2020,446,17487, 10:13:55,96,,181,17510,729,4.81,1,0
20210613314198143,2021-06-13,314198143,love.women.shop,September,25,2020,263,8574, 10:43:05,73,"San Nicolas,Metro Manila",78,2656,198,4.68,0,0
2021061310377223,2021-06-13,10377223,R&O RedOrange,September,27,2016,209,660417, 08:32:07,90,"Pasay City,Metro Manila",4647,1071829,18073,4.91,1,0
2021061321407329,2021-06-13,21407329,patriciacai,April,30,2017,165,18787, 09:10:38,94,"Binondo,Metro Manila",44,18959,215,4.94,1,0
2021061311187885,2021-06-13,11187885,Little Market Manila,October,18,2016,467,67371, 11:40:59,89,"Caloocan City,Metro Manila",680,39252,2383,4.73,1,0
20210613430999411,2021-06-13,430999411,Bellamy House,April,26,2021,115,41, 12:33:58,29,,0,2,0,5.0,0,0
20210613310915998,2021-06-13,310915998,Yihua Women's Wear Hall,September,17,2020,219,30480, 11:00:46,92,,87,16460,408,4.87,1,0
20210613126018720,2021-06-13,126018720,croptop korean top dress,February,12,2019,1444,72704, 11:03:13,95,,354,22350,962,4.8,1,0
20210613312874722,2021-06-13,312874722,Shopping Center boutique,September,22,2020,286,110539, 10:14:49,76,"San Nicolas,Metro Manila",679,28651,2027,4.7,1,0
2021061336754442,2021-06-13,36754442,KathrynClothing,September,30,2017,509,478893, 09:41:23,85,"Taytay,Rizal",4524,217241,10071,4.76,0,0
20210613147240166,2021-06-13,147240166,88jackshop,May,14,2019,225,2413, 08:55:06,77,"Caloocan City,Metro Manila",21,759,70,4.65,0,0
2021061349777615,2021-06-13,49777615,terno pants Infinity dress,December,26,2017,360,153661, 12:07:08,10,"Tondo I / Ii,Metro Manila",3960,178922,8576,4.76,0,0
2021061343841660,2021-06-13,43841660,peterang.999,November,17,2017,1517,63571, 11:57:43,61,"Tondo I / Ii,Metro Manila",809,104231,2070,4.89,0,0
2021061364909141,2021-06-13,64909141,ikon Bra Dress Crop top,April,13,2018,3630,195475, 10:43:46,99,,1809,99426,4793,4.77,0,0
2021061355610731,2021-06-13,55610731,Mark & Markuz,February,6,2018,16,5760, 11:46:01,67,"Candon City,Ilocos Sur",6,1926,25,4.92,0,0
2021061340071360,2021-06-13,40071360,IELGY Women's,October,24,2017,3838,77940, 09:36:00,100,,452,15596,1111,4.66,1,0
2021061336365595,2021-06-13,36365595,korean terno dress,September,27,2017,364,48181, 10:28:02,63,"Binondo,Metro Manila",2353,33468,3730,4.46,0,0
2021061320477406,2021-06-13,20477406,PinSan UnderWear,April,17,2017,215,517911, 08:05:48,94,"Binondo,Metro Manila",7797,608451,24896,4.81,1,0
20210613285493266,2021-06-13,285493266,HMFO Clo.,July,15,2020,34,19781, 10:13:30,92,"Cainta,Rizal",38,7053,155,4.89,1,0
20210613136836256,2021-06-13,136836256,GraBeYan PH,March,30,2019,118,72619, 10:03:06,99,"Pasay City,Metro Manila",289,49948,1234,4.88,1,0
2021061329167960,2021-06-13,29167960,BSCO SENIORITAS,July,30,2017,229,2837, 09:34:41,90,"San Pablo City,Laguna",4,632,9,4.91,0,0
20210613298717077,2021-06-13,298717077,Men's & Women's Clothing Store,August,19,2020,77,15552, 09:52:55,81,,269,5186,413,4.59,0,0
20210613365155177,2021-06-13,365155177,inza-Korean Top & Dress,December,29,2020,252,1267, 11:25:23,40,,1,139,6,4.87,0,0
20210613418672464,2021-06-13,418672464,xuxixi,April,7,2021,220,10180, 09:26:55,95,,5,1771,35,4.91,1,0
20210613311832009,2021-06-13,311832009,ItStyle PH,September,19,2020,10,351, 14:56:24,65,"San Mateo,Rizal",0,73,3,4.9,0,0
2021061312280641,2021-06-13,12280641,R Squared PH,November,12,2016,104,60753, 11:43:29,70,"Taytay,Rizal",299,29940,1050,4.84,1,0
20210613377783794,2021-06-13,377783794,Urban Fashion Hub,January,24,2021,169,6054, 13:09:38,50,"Tondo I / Ii,Metro Manila",13,1717,54,4.84,0,0
20210613140345020,2021-06-13,140345020,Empresas rtw,April,16,2019,111,4270, 11:14:33,58,"Binan City,Laguna",62,1088,120,4.51,0,0
20210613446245515,2021-06-13,446245515,DuoDUO Apparel Store,May,18,2021,128,495, 09:44:54,94,,1,9,1,4.27,0,0
20210613326225532,2021-06-13,326225532,Duolin Apparel Store,October,22,2020,247,30111, 08:35:40,100,,80,11561,213,4.9,1,0
20210613207276020,2021-06-13,207276020,sweetcandyapparel,December,8,2019,137,50164, 11:43:52,90,"Quezon City,Metro Manila",33,9520,173,4.9,1,0
20210613277581138,2021-06-13,277581138,John see way's shop.ph,June,24,2020,426,3256, 09:37:23,95,,13,734,26,4.79,0,0
